Customer_ID,Age,Gender,City,Category,Product,Quantity,Sales,Rating
1001,22,Male,Delhi,Electronics,Laptop,1,60000,4
1002,35,Female,Mumbai,Clothing,Jacket,2,4000,5
1003,28,Female,Delhi,Groceries,Rice,5,2500,4
1004,42,Male,Pune,Electronics,Mobile,1,30000,5
1005,31,Female,Mumbai,Clothing,Shoes,2,5000,4
1006,25,Male,Delhi,Furniture,Chair,1,12000,3
1007,47,Male,Bangalore,Electronics,Headphones,2,6000,5
1008,38,Female,Pune,Groceries,Oil,4,2400,4
1009,29,Male,Delhi,Clothing,T-Shirt,3,3000,4
1010,51,Female,Mumbai,Electronics,Tablet,1,35000,5
1011,33,Male,Bangalore,Furniture,Table,1,18000,4
1012,27,Female,Delhi,Groceries,Flour,5,2500,3
1013,44,Male,Pune,Electronics,Laptop,1,62000,5
1014,36,Female,Mumbai,Clothing,Jeans,2,4500,4
1015,24,Male,Delhi,Furniture,Sofa,1,35000,5
1016,40,Female,Bangalore,Electronics,Smartwatch,2,9000,4
1017,30,Male,Pune,Clothing,Shirt,3,5500,3
1018,55,Female,Mumbai,Groceries,Sugar,4,2200,4
1019,26,Female,Delhi,Electronics,Mobile,1,28000,5
1020,39,Male,Pune,Furniture,Bed,1,45000,4
1021,48,Male,Bangalore,Clothing,Shoes,2,5200,4
1022,32,Female,Mumbai,Electronics,Laptop,1,65000,5
1023,23,Male,Delhi,Groceries,Rice,6,3000,4
1024,45,Female,Pune,Clothing,Jacket,2,4200,5
1025,37,Male,Mumbai,Furniture,Chair,1,13000,3
1026,28,Female,Bangalore,Electronics,Tablet,1,38000,5
1027,52,Male,Delhi,Clothing,Jeans,2,4800,4
1028,34,Female,Mumbai,Groceries,Oil,5,3000,3
1029,41,Male,Pune,Electronics,Headphones,2,6500,5
1030,29,Female,Delhi,Furniture,Table,1,19000,4
